"EventClass","EventType","EventCategory","WindowName","Count","FlushEnable","UseSession","PersistSession","ThresholdEnable","ThresholdValue","DashboardMetaDataId","createdAt","updatedAt"
"ARDS","QUEUE","ADDED","QUEUE",1,True,True,False,True,10,1,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"ARDS","QUEUE","REMOVED","QUEUE",-1,True,True,False,True,10,2,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"SloatStatus","Available","AfterWork","AFTERWORK",-1,True,True,False,False,0,3,"2016-03-25 01:16:07.231086-04","2016-03-25 01:16:07.231086-04"
"SloatStatus","Completed","AfterWork","AFTERWORK",1,True,True,False,False,0,4,"2016-03-25 01:15:38.48465-04","2016-03-25 01:15:38.48465-04"
"ResourceStatus","NotAvailable","Break","BREAK",1,True,True,False,False,0,5,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"ResourceStatus","Available","EndBreak","BREAK",-1,True,True,False,False,0,6,"2016-03-25 01:05:16.337765-04","2016-03-25 01:05:16.337765-04"
"ARDS","REQUEST","REJECT","AGENTREJECT",1,True,False,False,False,0,7,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"SloatStatus","Connected","CALL","CONNECTED",1,True,True,False,False,0,8,"2016-03-25 01:15:38.48465-04","2016-03-25 01:15:38.48465-04"
"SloatStatus","Completed","CALL","CONNECTED",-1,True,True,False,False,0,9,"2016-03-25 01:15:38.48465-04","2016-03-25 01:15:38.48465-04"
"CALLSERVER","CHANNEL","CREATE","CALLCHANNELS",1,True,False,False,False,0,10,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"CALLSERVER","CHANNEL","DESTROY","CALLCHANNELS",-1,True,False,False,False,0,11,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"CALLSERVER","CALL","CREATE","CALLS",1,True,False,False,False,0,12,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"ARDS","AGENT","ROUTED","ROUTEDCALLS",1,True,False,False,False,0,13,"2016-04-20 08:40:15.83-04","2016-04-20 08:40:15.83-04"
"ARDS","QUEUE","DROPPED","QUEUEDROPPED",1,True,False,False,False,0,14,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"ARDS","QUEUE","ANSWERED","QUEUEANSWERED",1,True,False,False,False,0,15,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"CALLSERVER","CALL","BRIDGE","BRIDGE",1,True,True,False,False,0,16,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"CALLSERVER","CALL","UNBRIDGE","BRIDGE",-1,True,True,False,False,0,17,"2016-02-29 15:03:26.965-05","2016-02-29 15:03:26.965-05"
"ResourceStatus","Available","Register","LOGIN",1,True,True,False,False,0,18,"2016-03-25 01:02:51.757126-04","2016-03-25 01:02:51.757126-04"
"ResourceStatus","NotAvailable","UnRegister","LOGIN",-1,True,True,False,False,0,19,"2016-03-25 01:03:51.155287-04","2016-03-25 01:03:51.155287-04"
"ResourceStatus","NotAvailable","MealBreak","BREAK",1,True,True,False,False,0,20,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"ResourceStatus","NotAvailable","TeaBreak","BREAK",1,True,True,False,False,0,21,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"ResourceStatus","NotAvailable","OfficialBreak","BREAK",1,True,True,False,False,0,22,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"ResourceStatus","NotAvailable","AUXBreak","BREAK",1,True,True,False,False,0,23,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"ResourceStatus","NotAvailable","ProcessRelatedBreak","BREAK",1,True,True,False,False,0,24,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"ResourceStatus","NotAvailable","Meeting","BREAK",1,True,True,False,False,0,25,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"Resource","Productivity","StartWorking","PRODUCTIVITY",1,True,True,False,False,0,26,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"Resource","Productivity","EndWorking","PRODUCTIVITY",-1,True,True,False,False,0,27,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"TICKET","STATUS","new","NEWTICKET",1,False,True,True,False,0,28,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"TICKET","STATUS","Endnew","NEWTICKET",-1,False,True,True,False,0,29,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"TICKET","STATUS","open","OPENTICKET",1,False,True,True,False,0,30,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
"TICKET","STATUS","Endopen","OPENTICKET",-1,False,True,True,False,0,32,"2016-03-25 01:04:46.787778-04","2016-03-25 01:04:46.787778-04"
